-405.78965,-3461.04356,-3644.40175,-3644.90968,-3644.97159,-3644.99016,-3644.99541,-3644.99687,-3644.99728,-3644.99739,-3644.99742
-374.37648,-3493.68644,-3671.04955,-3673.23863,-3673.31023,-3673.31739,-3673.31834,-3673.31848,-3673.31851,-3673.31851,-3673.31851
-397.25763,-3338.78526,-3526.89156,-3534.43951,-3534.65899,-3534.66292,-3534.66174,-3534.66131,-3534.66118,-3534.66115,-3534.66114
-438.71351,-3352.14004,-3520.97784,-3526.78826,-3527.57418,-3527.66730,-3527.67780,-3527.67899,-3527.67912,-3527.67914,-3527.67914
-435.99775,-3568.33745,-3763.44648,-3764.86519,-3764.88435,-3764.88492,-3764.88493,-3764.88493,-3764.88493,-3764.88493,-3764.88493
-448.55907,-3404.66736,-3606.13817,-3606.95881,-3606.99132,-3606.99728,-3606.99867,-3606.99903,-3606.99912,-3606.99915,-3606.99915
-424.46500,-3344.59670,-3538.50334,-3539.95853,-3540.01272,-3540.01513,-3540.01596,-3540.01629,-3540.01640,-3540.01643,-3540.01644
-404.05843,-3391.22106,-3591.95279,-3594.30897,-3594.36346,-3594.36508,-3594.36513,-3594.36513,-3594.36513,-3594.36513,-3594.36513
-442.05662,-3407.98849,-3594.01709,-3604.65334,-3607.03906,-3607.37225,-3607.41109,-3607.41559,-3607.41612,-3607.41618,-3607.41619
-403.90533,-3457.20782,-3648.53043,-3651.13084,-3651.35157,-3651.38020,-3651.38471,-3651.38564,-3651.38588,-3651.38595,-3651.38598
